stationCode,stationName,stationEName,name,ename,stationAddrTw,stationAddrEn,stationTel,gps,haveBike
3180,銅鑼,Tongluo,銅鑼,Tongluo,苗栗縣銅鑼鄉銅鑼村大同路 13 號,"No. 13, Datong Rd., Tongluo Township, Miaoli County",037-983838,24.48648 120.78616,Y
3190,三義,Sanyi,三義,Sanyi,苗栗縣三義鄉雙湖村雙湖 90 號,"No. 90, Shuanghu, Sanyi Township, Miaoli County",037-874763,24.42066 120.77393,Y
3210,泰安,Tai'an,泰安,Tai'an,臺中市后里區泰安里安眉路 37 之 12 號,"No. 37-12, Anmei Rd., Houli Dist., Taichung City",04-25586540,24.33146 120.74181,N
3220,后里,Houli,后里,Houli,臺中市后里區義里里甲后路一段 1 號,"No. 1, Jiahou Rd., Houli Dist., Taichung City",04-25562038,24.30933 120.73288,Y
3230,豐原,Fengyuan,豐原,Fengyuan,臺中市豐原區豐原里中正路 1 號,"No. 1, Zhongzheng Rd., Fengyuan Dist., Taichung City",04-25207950#32,24.25413 120.72291,Y
3240,栗林,Lilin,栗林,Lilin,臺中市潭子區潭豐路二段747號,"No. 747, Section 2, Tanfeng Road, Tanzi Dist., Taichung City",04-25391401,24.23481 120.71069,Y
3250,潭子,Tanzi,潭子,Tanzi,臺中市潭子區中山路二段352-1號,"No. 352-1, Sec. 2, Zhongshan Rd., Tanzi Dist., Taichung City",04-25363852,24.21255 120.70584,Y
3260,頭家厝,Toujiacuo,頭家厝,Toujiacuo,臺中市潭子區頭張東路43巷8號,"No. 8, Ln. 43, Touzhang E. Rd., Tanzi Dist., Taichung City",04-25391426,24.19572 120.70398,N
3270,松竹,Songzhu,松竹,Songzhu,臺中市北屯區舊社里松竹路一段1473巷100號,"No. 100, Ln. 1473, Sec. 1, Songzhu Rd., Taiwan (R.O.C.), Beitun Dist., Taichung City",04-22473033,24.18045 120.70197,Y
3280,太原,Taiyuan,太原,Taiyuan,臺中市北屯區北興里東光路 665 號,"No. 665, Dongguang Rd., Beitun Dist., Taichung City",04-22313926,24.16501 120.69986,Y
3290,精武,Jingwu,精武,Jingwu,臺中市東區東南里東光路 161號,"No. 161, Dongguang Rd., Taiwan (R.O.C.)No. 194, Dongguang Rd., East Dist., Taichung City",04-23606501,24.14928 120.69777,Y
3300,臺中,Taichung,臺中,Taichung,臺中市中區綠川里臺灣大道一段 1 號,"No. 1, Sec. 1, Taiwan Blvd., Central Dist., Taichung City",04-22227236,24.13747 120.68691,Y
3310,五權,Wuquan,五權,Wuquan,臺中市南區建國南路二段201號,"No. 201, Sec. 2, Jianguo S. Rd., Taiwan (R.O.C.), South Dist., Taichung City",04-22601636,24.12894 120.66653,Y
3320,大慶,Daqing,大慶,Daqing,臺中市南區樹德里7鄰大慶街2段130號,"No. 130, Sec. 2, Daqing St., Taiwan (R.O.C.), South Dist., Taichung City",04-22637940,24.11958 120.64871,Y
3330,烏日,Wuri,烏日,Wuri,臺中市烏日區烏日里三民街 258 號,"No. 258, Sanmin St., Wuri Dist., Taichung City",04-23381071,24.10867 120.62244,N
3340,新烏日,Xinwuri,新烏日,Xinwuri,臺中市烏日區三和里高鐵東一路 26 號,"No. 26, Gaotie E. 1st Rd., Wuri Dist., Taichung City",04-23376883,24.10976 120.61429,Y
